"nft_address","first_time","first_time_hr","last_time","last_time_hr","diff","diff_hr","mean_trans_val","count_transfers","count_unique_trans","count_unique_owners","count_nfts","mint_min_val","mint_max_val","mint_mean_val","current_mean_val"
1.52191336906567e+46,1627764768,2021-07-31 16:52:48,1632585494,2021-09-25 11:58:14,4820726,55.7954398148148,180174.781604897,4051,1836,2992,9495,0,0,0,64015.4413561427
2.62865205646257e+46,1625652572,2021-07-07 06:09:32,1632573697,2021-09-25 08:41:37,6921125,80.1056134259259,2605.80666845732,674,399,6264,23807,0,0,0,73.7729951081714
3.42801262818751e+46,1617240651,2021-03-31 21:30:51,1632586354,2021-09-25 12:12:34,15345703,177.612303240741,21842.2209708835,68799,13548,12108,56757,0,5.5e-10,4.13350785340314e-13,24481.2344727725
4.99256809991085e+46,1627239003,2021-07-25 14:50:03,1632585365,2021-09-25 11:56:05,5346362,61.8791898148148,100046.530650092,5364,1498,2681,10000,0,888000,458714.32,360074.67878089
1.3721187392995e+47,1624038456,2021-06-18 13:47:36,1628804555,2021-08-12 17:42:35,4766099,55.1631828703704,18666.6666666667,15,12,28,64,30000,30000,30000,33906.25
1.41762654889594e+47,1627607300,2021-07-29 21:08:20,1632582377,2021-09-25 11:06:17,4975077,57.5819097222222,45286.5036857023,4920,1899,2421,10000,0,2e+05,137728,105800.909102762
1.57055399914602e+47,1627776905,2021-07-31 20:15:05,1632585365,2021-09-25 11:56:05,4808460,55.6534722222222,645201.18925595,8537,3870,3739,10420,0,2500000,1281046.06525912,1140663.39172972
1.76202184017888e+47,1625756535,2021-07-08 11:02:15,1632560458,2021-09-25 05:00:58,6803923,78.7491087962963,64498.4608488279,415,244,622,1960,0,2500000,395816.326530612,378924.070289597
1.95952815773703e+47,1626721607,2021-07-19 15:06:47,1632583108,2021-09-25 11:18:28,5861501,67.8414467592593,176477.103553865,4152,1713,1233,3623,0,1800000,634728.125862545,362445.727164442
1.98431161374138e+47,1617251073,2021-04-01 00:24:33,1632584482,2021-09-25 11:41:22,15333409,177.470011574074,58680.1499474289,1829,1085,8302,11320,0,0,0,8867.91468673564
2.20841346352253e+47,1626859123,2021-07-21 05:18:43,1632567035,2021-09-25 06:50:35,5707912,66.0637962962963,50547.4135555835,951,353,1147,5604,0,1400000,447346.538187009,422304.533156103
2.40322963536296e+47,1617235620,2021-03-31 20:07:00,1632580416,2021-09-25 10:33:36,15344796,177.601805555556,11759.4881398252,1602,543,1552,5471,0,0,0,3419.61250228477
3.38232752006318e+47,1617235214,2021-03-31 20:00:14,1632586451,2021-09-25 12:14:11,15351237,177.676354166667,5598.98885307249,128212,12698,9328,79341,0,0,0,8782.18936985007
3.38561842140329e+47,1620580557,2021-05-09 13:15:57,1630745946,2021-09-04 04:59:06,10165389,117.654965277778,263636.363636364,11,5,32,120,0,0,0,24166.6666666667
3.55045483654334e+47,1627428672,2021-07-27 19:31:12,1631685064,2021-09-15 01:51:04,4256392,49.2637962962963,31570.3703703704,81,43,320,500,0,0,0,4806.4
3.76940675934635e+47,1627493782,2021-07-28 13:36:22,1632585365,2021-09-25 11:56:05,5091583,58.9303587962963,149075.240851699,3164,1064,1080,5200,0,1560000,836204,592648.019204471
